station,latitude,longitude
GHCND:US1MDAA0001,38.89776,-76.59653
GHCND:US1MDAA0002,39.1069,-76.7021
GHCND:US1MDAA0003,39.099843,-76.809011
GHCND:US1MDAA0004,39.1321,-76.728
GHCND:US1MDAA0005,39.043293,-76.442849
GHCND:US1MDAA0006,38.792916,-76.701613
GHCND:US1MDAA0007,39.0889,-76.6492
GHCND:US1MDAA0008,38.9966,-76.645
GHCND:US1MDAA0009,38.821362,-76.537122
GHCND:US1MDAA0010,39.1038,-76.5443
GHCND:US1MDAA0011,39.0649,-76.5041
GHCND:US1MDAA0012,39.11706,-76.640309
GHCND:US1MDAA0013,39.1263,-76.5596
GHCND:US1MDAA0017,39.056194,-76.567776
GHCND:US1MDAA0019,38.801085,-76.5147
GHCND:US1MDAA0020,38.875728,-76.50459
GHCND:US1MDAA0021,38.761734,-76.560497
GHCND:US1MDAA0022,38.84338,-76.54988
GHCND:US1MDAA0023,39.0579,-76.7105
GHCND:US1MDAA0024,39.094753,-76.540958
GHCND:US1MDAA0026,39.1184464,-76.6422272
GHCND:US1MDAA0027,39.13732,-76.65905
GHCND:US1MDAA0028,38.921047,-76.521701
GHCND:US1MDAA0030,38.82231,-76.6097
GHCND:US1MDAA0034,39.0314,-76.6764
GHCND:US1MDAA0035,39.2082,-76.6586
GHCND:US1MDAA0039,39.091628,-76.511171
GHCND:US1MDAA0042,38.964348,-76.581807
GHCND:US1MDAA0043,38.783953,-76.536154
GHCND:US1MDAA0044,38.749729,-76.555957
GHCND:US1MDAA0047,38.862625,-76.562603
GHCND:US1MDAA0051,39.1147,-76.6989
GHCND:US1MDAA0053,39.0589,-76.5079
GHCND:US1MDAA0054,39.02919,-76.67292
GHCND:US1MDAA0059,38.959166,-76.488006
GHCND:US1MDAA0063,39.1234,-76.6818
GHCND:US1MDAA0064,39.00387,-76.69154
GHCND:US1MDAA0065,39.0755,-76.6925
GHCND:US1MDAA0066,39.08469,-76.607627
GHCND:US1MDAA0067,39.11449,-76.63047
GHCND:US1MDAA0070,38.99894,-76.551397
GHCND:US1MDAA0071,38.997832,-76.677016
GHCND:US1MDAA0074,38.94601,-76.58933
GHCND:US1MDAA0076,39.0604,-76.4839
GHCND:US1MDAA0078,39.10383,-76.70847
GHCND:US1MDAA0082,38.840702,-76.502807
GHCND:US1MDAA0084,38.9561759,-76.5947309
GHCND:US1MDAA0090,39.0885,-76.7867
GHCND:US1MDAA0091,39.066,-76.505
GHCND:US1MDAA0093,38.846009,-76.626444
GHCND:US1MDAA0094,38.8755,-76.6627
GHCND:US1MDAA0096,39.078753,-76.556241
GHCND:US1MDAA0098,38.936944,-76.5025
GHCND:US1MDAL0002,39.576776,-78.849789
GHCND:US1MDAL0003,39.638224,-78.748827
GHCND:US1MDAL0006,39.6682,-78.9282
GHCND:US1MDAL0017,39.550862,-78.940071
GHCND:US1MDBC0001,39.357794,-76.553183
